Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-19 00:00:00-04:00,120.050447495282,121.76600548369002,119.75801895076617,121.54181671142578,92612000,0.0,0.0
2021-05-20 00:00:00-04:00,122.06817161997536,124.49530152830624,121.94144912599474,124.09564971923828,76857100,0.0,0.0
2021-05-21 00:00:00-04:00,124.59280994069861,124.76826561168578,122.04870642976888,122.26315307617188,79295400,0.0,0.0
2021-05-24 00:00:00-04:00,122.82848472896345,124.70975612799803,122.76025239580743,123.89096069335938,63092900,0.0,0.0
2021-05-25 00:00:00-04:00,124.59279202902988,125.08017543327662,123.1306641265909,123.6960220336914,72009500,0.0,0.0
2021-05-26 00:00:00-04:00,123.75450113667013,124.17364475386753,123.22813421483384,123.64727783203125,56575900,0.0,0.0
2021-05-27 00:00:00-04:00,123.24764397847942,124.41734339161216,121.92198067731965,122.11692810058594,94625600,0.0,0.0
2021-05-28 00:00:00-04:00,122.39960530367183,122.62380153028337,121.405361560534,121.4638442993164,71311100,0.0,0.0
2021-06-01 00:00:00-04:00,121.92197831860382,122.18515807859856,120.81076166659518,121.14217376708984,67637100,0.0,0.0
2021-06-02 00:00:00-04:00,121.14214539210477,122.07790617267895,120.91795665587394,121.90245056152344,59278900,0.0,0.0
2021-06-03 00:00:00-04:00,121.5320769508381,121.69778300232346,120.02120840977952,120.42086029052734,76229200,0.0,0.0
2021-06-04 00:00:00-04:00,120.93746163646239,122.97469686847107,120.72301503974921,122.71150970458984,75169300,0.0,0.0
2021-06-07 00:00:00-04:00,122.98446273682511,123.13067702974456,121.6782985767518,122.72128295898438,71057600,0.0,0.0
2021-06-08 00:00:00-04:00,123.4035896495703,125.21663622404847,123.02343700167279,123.54005432128906,74403800,0.0,0.0
2021-06-09 00:00:00-04:00,123.99820136642403,124.52456834027448,123.32562010482052,123.92021942138672,56877900,0.0,0.0
2021-06-10 00:00:00-04:00,123.81299241371467,124.95345787476269,122.7602659341765,122.92597198486328,71186400,0.0,0.0
2021-06-11 00:00:00-04:00,123.33537009563992,124.22239799050632,122.91622643570359,124.1346664428711,53522400,0.0,0.0
2021-06-14 00:00:00-04:00,124.59278699385679,127.24410590291394,123.8617230721818,127.18562316894531,96906500,0.0,0.0
2021-06-15 00:00:00-04:00,126.65926509447159,127.30260492232891,126.12314857125716,126.36683654785156,62746300,0.0,0.0
2021-06-16 00:00:00-04:00,127.07841452715692,127.58528973592168,125.21664949570912,126.86396789550781,91815000,0.0,0.0
2021-06-17 00:00:00-04:00,126.52279301183641,129.20336059736883,126.37657131032402,128.46253967285156,96721700,0.0,0.0
2021-06-18 00:00:00-04:00,127.40984095504005,128.18963065921508,126.95170632339287,127.16615295410156,108953300,0.0,0.0
2021-06-21 00:00:00-04:00,127.01018237446559,129.06690958900398,125.9477063159808,128.95968627929688,79663300,0.0,0.0
2021-06-22 00:00:00-04:00,128.79396232556323,130.6947253937975,128.29682937988724,130.5972442626953,74783600,0.0,0.0
2021-06-23 00:00:00-04:00,130.3925806003398,130.92869718078555,129.86620618552573,130.3243408203125,60214200,0.0,0.0
2021-06-24 00:00:00-04:00,131.0554073186903,131.240612583958,129.57378007008424,130.0416717529297,68711000,0.0,0.0
2021-06-25 00:00:00-04:00,130.0904368018557,130.50957311385895,129.45683893971847,129.749267578125,70783700,0.0,0.0
2021-06-28 00:00:00-04:00,130.04165459260284,131.83519451956099,129.98317185834844,131.37705993652344,62111300,0.0,0.0
2021-06-29 00:00:00-04:00,131.3965550234282,133.0438880631515,130.9579196567259,132.88792419433594,64556100,0.0,0.0
2021-06-30 00:00:00-04:00,132.73196707347742,133.9406648079474,132.43953852296474,133.5020294189453,63261400,0.0,0.0
2021-07-01 00:00:00-04:00,133.15110203776288,133.86266668828733,132.33229922059724,133.80418395996094,52485800,0.0,0.0
2021-07-02 00:00:00-04:00,134.41828334809892,136.46526832234767,134.27207651002422,136.42628479003906,78852600,0.0,0.0
2021-07-06 00:00:00-04:00,136.53350195950557,139.53572463895688,136.53350195950557,138.43426513671875,108181800,0.0,0.0
2021-07-07 00:00:00-04:00,139.91586805219615,141.231788943126,139.05809657469072,140.9198760986328,104911600,0.0,0.0
2021-07-08 00:00:00-04:00,138.0053823208354,140.42276298269945,137.11835448019005,139.62347412109375,105575500,0.0,0.0
2021-07-09 00:00:00-04:00,139.1458433075578,141.97261806281588,139.04836216143113,141.44625854492188,99890800,0.0,0.0
2021-07-12 00:00:00-04:00,142.51847096001342,142.62569425576672,140.36426288116348,140.8516387939453,76299700,0.0,0.0
2021-07-13 00:00:00-04:00,140.3934939298509,143.7369001800956,140.00359917768813,141.9628448486328,100827100,0.0,0.0
2021-07-14 00:00:00-04:00,144.36073887875023,145.7936251287686,143.95133005857537,145.38421630859375,127050800,0.0,0.0
2021-07-15 00:00:00-04:00,145.47199168239987,146.21279783696795,143.3762659892824,144.73117065429688,106820300,0.0,0.0
2021-07-16 00:00:00-04:00,144.71163648718607,145.97880173322068,142.19677544564345,142.6938934326172,93251400,0.0,0.0
2021-07-19 00:00:00-04:00,140.12055849525734,140.43248618215895,138.09307315098926,138.85337829589844,121434600,0.0,0.0
2021-07-20 00:00:00-04:00,139.83789124908492,143.3859869898834,139.350515378791,142.4599609375,96350000,0.0,0.0
2021-07-21 00:00:00-04:00,141.85565012536404,142.4405072449087,140.97837931958148,141.7289276123047,74993500,0.0,0.0
2021-07-22 00:00:00-04:00,142.25529492286392,144.4582288663732,142.12857241610413,143.0935821533203,77338200,0.0,0.0
2021-07-23 00:00:00-04:00,143.82464898024415,144.9651069434816,143.2105505102186,144.80914306640625,71447400,0.0,0.0
2021-07-26 00:00:00-04:00,144.5264642055409,146.04707474588002,143.97084849928373,145.22828674316406,72434100,0.0,0.0
2021-07-27 00:00:00-04:00,145.35501995009983,145.44275893789174,141.87516288945258,143.06436157226562,104818600,0.0,0.0
2021-07-28 00:00:00-04:00,141.1537977724019,143.25926511063363,138.9411071473103,141.3195037841797,118931200,0.0,0.0
2021-07-29 00:00:00-04:00,141.0368336570977,142.8498725143642,140.92961036922324,141.9628448486328,56699500,0.0,0.0
2021-07-30 00:00:00-04:00,140.7347238502062,142.63548761761535,140.4715365982456,142.17735290527344,70440600,0.0,0.0
2021-08-02 00:00:00-04:00,142.66467417357075,143.23977416644965,141.5826990796388,141.84588623046875,62880000,0.0,0.0
2021-08-03 00:00:00-04:00,142.12856645538005,144.30225894055675,141.51446802349406,143.63943481445312,64786600,0.0,0.0
2021-08-04 00:00:00-04:00,143.55170433223327,144.05856456840556,142.5866946784069,143.23977661132812,56368300,0.0,0.0
2021-08-05 00:00:00-04:00,143.26898769075027,144.10727467156428,142.4794412652161,143.3469696044922,46397700,0.0,0.0
2021-08-06 00:00:00-04:00,142.8687074712915,143.6106236198985,142.16583326910765,142.6636962890625,54126800,0.22,0.0
2021-08-09 00:00:00-04:00,142.72226739584752,143.21037365568,142.05845003246944,142.61488342285156,48908700,0.0,0.0
2021-08-10 00:00:00-04:00,142.95653516321173,144.19632898598317,141.84365370926938,142.1365203857422,69023100,0.0,0.0
2021-08-11 00:00:00-04:00,142.57584837162412,143.22990900393347,142.06821366601775,142.39036560058594,48493500,0.0,0.0
2021-08-12 00:00:00-04:00,142.7124810649403,145.50444888855472,142.37080079552103,145.34825134277344,72282600,0.0,0.0
2021-08-13 00:00:00-04:00,145.42637130499,145.88519235268876,144.74302556240244,145.55328369140625,59375000,0.0,0.0
2021-08-16 00:00:00-04:00,145.00657783567002,147.59354953492934,142.98582599022765,147.52520751953125,103296000,0.0,0.0
2021-08-17 00:00:00-04:00,146.65633624046745,148.07184077376138,145.54345506788576,146.61729431152344,92229700,0.0,0.0
2021-08-18 00:00:00-04:00,146.23657469750415,147.13468803671452,142.67339161601052,142.87840270996094,86326000,0.0,0.0
2021-08-19 00:00:00-04:00,141.5800847276963,144.4794367790495,141.06269334170713,143.21035766601562,86960300,0.0,0.0
2021-08-20 00:00:00-04:00,143.9327425154178,144.9675251601663,143.28843882859866,144.66490173339844,60549600,0.0,0.0
2021-08-23 00:00:00-04:00,144.78203658666285,146.6173203855108,144.3720292286724,146.14874267578125,60131800,0.0,0.0
2021-08-24 00:00:00-04:00,145.8949130199866,147.27137582254224,145.6020463753851,146.0608673095703,48606400,0.0,0.0
2021-08-25 00:00:00-04:00,146.24637657624294,146.74425443123712,144.28419502392072,144.83087158203125,58991300,0.0,0.0
2021-08-26 00:00:00-04:00,144.82110951404735,145.57278230599707,144.00107981111,144.03036499023438,48597200,0.0,0.0
2021-08-27 00:00:00-04:00,143.97178711441077,145.21158091727293,143.33725507209095,145.06515502929688,55802400,0.0,0.0
2021-08-30 00:00:00-04:00,145.45564049048158,149.83883931473636,145.07491826892314,149.47763061523438,90956700,0.0,0.0
2021-08-31 00:00:00-04:00,149.0285807911714,149.16524992421503,147.6911597437249,148.21832275390625,86453100,0.0,0.0
2021-09-01 00:00:00-04:00,149.19456679893693,151.29341783710504,148.71621728375123,148.88217163085938,80313700,0.0,0.0
2021-09-02 00:00:00-04:00,150.20976298790652,151.03954929712242,148.77472989529102,149.9949951171875,71115500,0.0,0.0
2021-09-03 00:00:00-04:00,150.10239938899159,150.9517142276546,149.44833892893834,150.6295623779297,57808700,0.0,0.0
2021-09-07 00:00:00-04:00,151.2836060822293,153.5191254698615,150.71740121777114,152.9626922607422,82278300,0.0,0.0
2021-09-08 00:00:00-04:00,153.24580029178898,153.30437064554417,150.31716343749,151.4202880859375,74420200,0.0,0.0
2021-09-09 00:00:00-04:00,151.79123351222952,152.39648028234163,150.28785845020124,150.40501403808594,57305700,0.0,0.0
2021-09-10 00:00:00-04:00,151.3128888573864,151.7814665359228,145.16274910531013,145.42633056640625,140893200,0.0,0.0
2021-09-13 00:00:00-04:00,147.04686479158386,147.81806596111582,145.21158088499752,145.9925537109375,102404300,0.0,0.0
2021-09-14 00:00:00-04:00,146.7735681841506,147.47644243735672,143.41539450679298,144.5966033935547,109296300,0.0,0.0
2021-09-15 00:00:00-04:00,145.02608811276684,145.88515965134906,142.88818092204215,145.4849090576172,83281300,0.0,0.0
2021-09-16 00:00:00-04:00,144.90896023332135,145.42635157507343,143.71798000246844,145.25062561035156,68034100,0.0,0.0
2021-09-17 00:00:00-04:00,145.27992686740734,145.27992686740734,142.29270460935308,142.5855712890625,129868800,0.0,0.0
2021-09-20 00:00:00-04:00,140.37935348466607,141.39460787991925,137.909537174392,139.53981018066406,123478900,0.0,0.0
2021-09-21 00:00:00-04:00,140.50621829477157,141.1602935933769,139.38358019514303,140.0181121826172,75834000,0.0,0.0
2021-09-22 00:00:00-04:00,141.0138481925674,142.94674416241062,140.28168904837355,142.38055419921875,76404300,0.0,0.0
2021-09-23 00:00:00-04:00,143.1615238009879,143.5813028239796,142.17555476827644,143.33724975585938,64838200,0.0,0.0
2021-09-24 00:00:00-04:00,142.1950877231893,143.96202960944674,142.09746053449825,143.42510986328125,53477900,0.0,0.0
2021-09-27 00:00:00-04:00,142.00961449990794,142.48796392317834,140.39887004950094,141.9119873046875,74150700,0.0,0.0
2021-09-28 00:00:00-04:00,139.8424227657557,141.30674132874793,138.31953384357482,138.5343017578125,108972300,0.0,0.0
2021-09-29 00:00:00-04:00,139.08096654322168,141.0138627120859,138.6514307510702,139.43240356445312,74602000,0.0,0.0
2021-09-30 00:00:00-04:00,140.2426707272125,140.9455448156453,137.9192805517919,138.13404846191406,89056700,0.0,0.0
2021-10-01 00:00:00-04:00,138.52453927839463,139.52028013802934,135.80091312494108,139.25669860839844,94639600,0.0,0.0
